sample,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,0.093978085,0.10232888,0.09198034,0.10315645,0.10509478,0.104591615,0.08880534,0.102214836,0.110602595,0.09724704
1,0.09281999,0.10573117,0.0908537,0.09772195,0.10756854,0.10407508,0.09009033,0.10218868,0.11609341,0.092857145
2,0.0924901,0.107120566,0.09021097,0.10326997,0.10547363,0.1045553,0.089031935,0.10398711,0.11258967,0.09127071
3,0.09284133,0.10643289,0.091475606,0.10471179,0.101874694,0.10687532,0.091780365,0.10277285,0.10803742,0.093197666
4,0.09880014,0.10526406,0.08952348,0.10512963,0.10399338,0.103845686,0.086792074,0.10032306,0.11215333,0.09417522
5,0.09652284,0.10608976,0.0900367,0.10141431,0.1030663,0.10482228,0.08882391,0.102313474,0.11197055,0.09493986
6,0.094993204,0.10489114,0.0914006,0.09881717,0.10800533,0.10585659,0.090261444,0.10007327,0.11028102,0.09542027
7,0.09497948,0.10347516,0.08958345,0.10033409,0.1065242,0.107273,0.08655768,0.101367794,0.11322727,0.096677884
8,0.095492415,0.10642133,0.09328798,0.10182127,0.102447696,0.105990134,0.08921141,0.102622755,0.108651906,0.09405313
9,0.09387104,0.104146406,0.093577534,0.10548761,0.10293053,0.103285626,0.08847035,0.1032453,0.11004152,0.09494415
10,0.0941878,0.10403669,0.094444856,0.1061857,0.10163529,0.101861715,0.09088958,0.10306541,0.10853474,0.09515818
11,0.09217776,0.10595534,0.09116302,0.10310273,0.10657467,0.10503528,0.090891235,0.101011656,0.10882318,0.09526518
12,0.096772075,0.10299808,0.09293786,0.10262437,0.10127314,0.10723009,0.090661936,0.102719516,0.10670407,0.09607891
13,0.09432764,0.10248403,0.0923457,0.10065352,0.10380466,0.10431391,0.09147684,0.10160127,0.10970247,0.09928993
14,0.09720918,0.10190951,0.08930093,0.10401568,0.10391929,0.103158586,0.088540696,0.102620274,0.112935565,0.09639036
15,0.09356746,0.10744054,0.0906082,0.10487911,0.10447513,0.10416579,0.09009539,0.10089816,0.10856723,0.09530301
16,0.09553581,0.1006078,0.09333078,0.10037587,0.103733905,0.10823961,0.090430625,0.10236623,0.110297725,0.095081575
17,0.09633096,0.100824945,0.09077527,0.10260734,0.10149385,0.10691765,0.091768205,0.102893226,0.10775035,0.09863819
18,0.09249005,0.10074424,0.09225191,0.10400116,0.10807625,0.10137152,0.09291812,0.09673675,0.11111373,0.100296244
19,0.09257462,0.10687418,0.0912836,0.10381715,0.10582887,0.106336825,0.090071514,0.10138369,0.107763365,0.09406618
20,0.0925243,0.10586688,0.08896499,0.10486352,0.108068675,0.10247217,0.08815191,0.10111537,0.11344443,0.094527766
21,0.0989917,0.10463171,0.09227137,0.10264387,0.100326724,0.10589631,0.08795702,0.1070902,0.10829993,0.09189123
22,0.092085406,0.103979275,0.09243264,0.10770821,0.0999631,0.10340199,0.0919808,0.10419419,0.1094635,0.094790965
23,0.09776802,0.10558217,0.08952961,0.10279131,0.10217519,0.104516864,0.09204802,0.10283559,0.10775617,0.09499704
24,0.09262807,0.10457427,0.09339715,0.10447633,0.10529904,0.103026785,0.090327516,0.10112134,0.10920942,0.09594005
25,0.094179876,0.1038599,0.09118815,0.10533377,0.10741665,0.102559924,0.089558914,0.09896913,0.1108067,0.096127056
26,0.095805,0.101829335,0.09044702,0.105706945,0.10801246,0.10959961,0.08809017,0.09451248,0.10874545,0.09725154
27,0.09074042,0.10785538,0.08873452,0.10371606,0.10627108,0.10306743,0.09103818,0.09911226,0.11283399,0.09663061
28,0.093712784,0.10358863,0.0896425,0.10415302,0.10810861,0.1066745,0.08793591,0.09992643,0.11191416,0.09434343
29,0.09278672,0.10580101,0.09144412,0.10392638,0.10472167,0.10735671,0.09047364,0.1003774,0.110485256,0.09262701
30,0.09389153,0.105155095,0.09191178,0.102933906,0.10385293,0.1044461,0.0892869,0.09951599,0.110892385,0.09811333
31,0.09307167,0.10610259,0.09024833,0.100999705,0.105106354,0.105014786,0.08985207,0.101555556,0.11215746,0.0958914
32,0.09878013,0.10384179,0.090064585,0.101208486,0.10254085,0.10365901,0.08878538,0.10483975,0.108954996,0.09732504
33,0.10018195,0.10052387,0.092875116,0.100292355,0.10274015,0.10671599,0.09062371,0.100555934,0.109195225,0.09629573
34,0.096241005,0.101416364,0.09497366,0.10220416,0.100532435,0.10533097,0.089971334,0.104679786,0.10955374,0.095096566
35,0.09552379,0.10538652,0.090237856,0.102463864,0.10707655,0.10383221,0.08875514,0.10093825,0.1101346,0.09565124
36,0.094763756,0.10616556,0.089345664,0.102207035,0.107084654,0.10222505,0.09172643,0.10038437,0.11116626,0.09493128
37,0.09526073,0.107889675,0.090773605,0.105093434,0.102134325,0.10509736,0.08987077,0.10133519,0.108164996,0.09437994
38,0.09441461,0.10165666,0.092900544,0.103045836,0.10067846,0.10696447,0.092787564,0.10250753,0.10934705,0.09569726
39,0.09720285,0.103241004,0.091502465,0.10510489,0.10342887,0.10377108,0.089419246,0.10090278,0.11208586,0.093340896
40,0.094750084,0.099697486,0.09245988,0.10510563,0.10153061,0.104291126,0.09011564,0.10373475,0.11323331,0.09508143
41,0.100274935,0.10222792,0.08816919,0.110329755,0.09957884,0.1063916,0.08666037,0.10336985,0.10901085,0.09398676
