sample,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,0.103087395,0.09687722,0.10034799,0.10482585,0.10482163,0.10795229,0.089591585,0.09427721,0.1122017,0.08601714
1,0.09391984,0.10034484,0.0911267,0.110281214,0.11100539,0.10005499,0.08947289,0.09961419,0.112935446,0.09124447
2,0.09643251,0.102256946,0.09899156,0.10399792,0.10261034,0.10850507,0.09032035,0.100995235,0.10890167,0.08698836
3,0.09636806,0.09866506,0.08954704,0.11133127,0.110889144,0.10105181,0.09455765,0.09991728,0.10788,0.08979264
4,0.097940244,0.09791943,0.096630454,0.102831066,0.112200074,0.10263273,0.0863646,0.099335834,0.1100432,0.094102375
5,0.10015226,0.097287446,0.09343955,0.11028019,0.108386606,0.09997228,0.08809859,0.09817714,0.114709355,0.08949664
6,0.10121205,0.0969615,0.09175135,0.11184237,0.107267074,0.10240334,0.08746663,0.098080195,0.113851234,0.08916428
7,0.09946874,0.09713122,0.0918329,0.10405241,0.11093781,0.104429424,0.08966876,0.101505585,0.11102049,0.08995263
8,0.09751303,0.095690034,0.09679265,0.10717093,0.103893,0.10205764,0.090254605,0.10018836,0.11608916,0.090350695
9,0.097971305,0.09776284,0.095890746,0.10612124,0.10316688,0.107508086,0.09134623,0.099629454,0.113998525,0.08660475
10,0.099415526,0.0976901,0.09284468,0.105889104,0.11382148,0.1058514,0.09135413,0.10245716,0.10611688,0.084559575
11,0.10041068,0.097529136,0.092852406,0.10780521,0.10927872,0.10245028,0.087914154,0.10052312,0.1142214,0.08701485
12,0.0956473,0.10006179,0.0927838,0.10847461,0.103614025,0.10748003,0.091923274,0.093015976,0.11338283,0.09361637
13,0.09335971,0.10209377,0.096230485,0.10699307,0.10467399,0.10733697,0.088243924,0.10073845,0.11401219,0.0863174
14,0.10281414,0.097782426,0.094317235,0.10216605,0.11015283,0.10442583,0.088483825,0.102594405,0.11131014,0.08595312
15,0.1062183,0.09555143,0.09675347,0.10484915,0.10389975,0.10862013,0.085733734,0.101286426,0.111651614,0.08543602
16,0.097415835,0.09847052,0.09115805,0.108226046,0.11337954,0.10339076,0.092777185,0.095829666,0.10952597,0.08982641
17,0.09658849,0.0991648,0.09248498,0.10871095,0.108133,0.10190026,0.08816186,0.10616812,0.1103478,0.088339694
18,0.094665565,0.09769525,0.09507889,0.111358434,0.10417015,0.10587491,0.08688187,0.099864155,0.11384028,0.09057048
19,0.09638328,0.102426335,0.09932764,0.10532847,0.107016504,0.10033914,0.087526925,0.10008093,0.11220395,0.08936679
20,0.10148158,0.09882696,0.09537685,0.103209406,0.106039226,0.10548409,0.09240046,0.099542215,0.11171596,0.08592316
21,0.0959078,0.09589793,0.09388991,0.106074326,0.108792506,0.109838866,0.08728773,0.104793824,0.11008378,0.087433286
22,0.09505009,0.09783908,0.096182056,0.105161086,0.107579984,0.10467786,0.09035563,0.10198269,0.112482086,0.0886894
