sample,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
0,0.0971464,0.1022484,0.090977095,0.09951245,0.103663884,0.10153475,0.08943246,0.10735479,0.09710335,0.11102645
1,0.093185835,0.10258581,0.08945454,0.100567825,0.10576069,0.10284889,0.09110903,0.108534396,0.09823883,0.1077142
2,0.0977291,0.098295346,0.091954656,0.096337624,0.107394174,0.09834283,0.087055825,0.11010792,0.09945188,0.11333068
3,0.09657748,0.10227401,0.0949608,0.09680148,0.10744488,0.10047238,0.08639807,0.10514178,0.100658126,0.10927091
4,0.09596086,0.10153519,0.09032321,0.100308105,0.10573233,0.09741947,0.088681385,0.10636045,0.10126395,0.11241505
5,0.09684483,0.10123248,0.092440784,0.099105485,0.10164371,0.1015069,0.090904534,0.10612859,0.09857671,0.11161592
6,0.0909605,0.09862819,0.09378349,0.098395586,0.10588376,0.095398046,0.090811074,0.11032419,0.101904005,0.11391117
7,0.092691995,0.10244341,0.09110519,0.101537295,0.10357337,0.100608386,0.09038657,0.10797078,0.098949395,0.110733636
8,0.09540467,0.10154389,0.09122446,0.097644195,0.10468687,0.10139172,0.08941124,0.10893891,0.10251348,0.107240625
9,0.10092359,0.10075667,0.09345414,0.09613042,0.111174986,0.0969464,0.08908456,0.10738231,0.10067909,0.10346784
10,0.09120236,0.100893416,0.09154395,0.10190861,0.10542196,0.096978165,0.09371991,0.10545607,0.09982203,0.11305343
11,0.09880491,0.10170366,0.09183596,0.09951843,0.10551452,0.099292874,0.0900978,0.10439306,0.0994057,0.10943307
12,0.099574484,0.09991823,0.09180923,0.09859975,0.10371785,0.099495396,0.09029137,0.10535072,0.09872062,0.112522304
13,0.09603762,0.104055546,0.089177564,0.0994634,0.10734172,0.09962276,0.08866152,0.10647969,0.099846095,0.10931405
14,0.10302783,0.098380975,0.09103012,0.09933681,0.10264244,0.09565096,0.09148701,0.107456945,0.10217368,0.10881313
15,0.09717948,0.10480887,0.09487167,0.0941332,0.10885841,0.09976354,0.089655295,0.10592921,0.098369084,0.10643116
16,0.09045043,0.10198467,0.09410748,0.09633504,0.10524279,0.097370476,0.08964153,0.10696425,0.10529474,0.112608485
17,0.09409379,0.100149184,0.09100895,0.09707616,0.112461545,0.09591546,0.08914932,0.114088774,0.09812847,0.10792836
18,0.093586,0.10015806,0.09119839,0.09624749,0.11030522,0.10439135,0.089707695,0.11222347,0.098871715,0.10331063
